,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
1,1,IB,2,2,R,3,1.63,26.17,1,7.8,10.16,39.702,1.595384969,6.881,24.862
2,1,IB,3,3,A,1,1.62,27.26,1,28.7,20.64,39.702,1.595384969,6.881,24.862
3,1,IB,4,4,A,1,6.77,27.02,1,10.3,6.1,39.702,1.595384969,6.881,24.862
4,1,IB,5,5,A,1,9.58,29.03,1,13.7,10.02,39.702,1.595384969,6.881,24.862
5,1,IB,6,6,R,3,10.63,28.14,1,7.8,10,39.702,1.595384969,6.881,24.862
6,1,IB,7,7,R,3,14.39,29.5,1,4.3,5.58,39.702,1.595384969,6.881,24.862
7,1,IB,8,8,R,3,21.84,27.27,1,5,7.56,39.702,1.595384969,6.881,24.862
8,1,IB,9,9,A,1,25.69,26.22,1,27.7,15,39.702,1.595384969,6.881,24.862
9,1,IB,10,10,R,3,27.42,27.41,1,4.9,7.26,39.702,1.595384969,6.881,24.862
10,1,IB,11,11,R,3,28.63,30,1,2.3,2,39.702,1.595384969,6.881,24.862
11,1,IB,12,12,A,1,29.12,28.6,1,22.5,9.46,39.702,1.595384969,6.881,24.862
12,1,IB,13,13,R,3,27.33,15.09,1,8.5,11.05,39.702,1.595384969,6.881,24.862
13,1,IB,14,14,R,3,24.87,9.85,1,8.7,8.94,39.702,1.595384969,6.881,24.862
14,1,IB,15,15,A,1,25.02,3.74,1,33,12.45,39.702,1.595384969,6.881,24.862
15,1,IB,16,16,A,1,25.13,1.64,1,32,11.94,39.702,1.595384969,6.881,24.862
16,1,IB,17,17,R,3,26.58,0.81,1,8.4,10.1,39.702,1.595384969,6.881,24.862
17,1,IB,18,18,A,1,11.67,2.88,1,10.6,8.42,39.702,1.595384969,6.881,24.862
18,1,IB,20,20,A,1,8.42,0.83,1,27.6,17.03,39.702,1.595384969,6.881,24.862
19,1,IB,21,21,R,3,3.69,1.3,1,2,2,39.702,1.595384969,6.881,24.862
20,1,IB,23,23,R,3,1.75,1.52,1,2,2,39.702,1.595384969,6.881,24.862
21,1,IB,24,24,R,3,2.77,4.96,1,1.5,3,39.702,1.595384969,6.881,24.862
22,1,IB,25,25,L,2,5.02,4.98,1,3.2,3.38,39.702,1.595384969,6.881,24.862
23,1,IB,26,26,A,1,5.05,9.18,1,33.7,9.94,39.702,1.595384969,6.881,24.862
24,1,IB,27,27,A,1,2.91,13.67,1,37,9.68,39.702,1.595384969,6.881,24.862
25,1,IB,28,28,R,3,3.99,15.97,1,6.4,8.4,39.702,1.595384969,6.881,24.862
26,1,IB,29,29,R,3,3.93,18.94,1,7.04,6.27,39.702,1.595384969,6.881,24.862
27,1,IB,30,30,R,3,1.72,33.13,1,10.52,9.26,39.702,1.595384969,6.881,24.862
28,1,IB,31,31,A,1,2.27,23.89,1,39.7,20.44,39.702,1.595384969,6.881,24.862
29,1,IB,32,32,A,1,5.24,21.95,1,21.7,13.5,39.702,1.595384969,6.881,24.862
30,1,IB,33,33,R,3,8.59,20.85,1,3,5.42,39.702,1.595384969,6.881,24.862
31,1,IB,34,34,R,3,10.08,21.78,1,9,9.68,39.702,1.595384969,6.881,24.862
32,1,IB,35,35,R,3,12.25,22.69,1,2,1.8,39.702,1.595384969,6.881,24.862
33,1,IB,36,36,A,1,14.38,22.08,1,37,17.53,39.702,1.595384969,6.881,24.862
