,Geo,LOC,Tree1,Tree2,dist,pos1,pos2,h1,h2,dbh1,dbh2
1,IB,1,31,32,3.547463883,2.27+23.89i,5.24+21.95i,20.44,13.5,39.7,21.7
2,IB,1,31,3,3.432113052,2.27+23.89i,1.62+27.26i,20.44,20.64,39.7,28.7
3,IB,1,37,36,3.114434138,16.29+24.54i,14.38+22.08i,22.13,17.53,50,37
4,IB,1,39,40,1.251718818,19.44+23.06i,20.66+22.78i,17.08,16.31,24,48
5,IB,1,40,9,6.093808333,20.66+22.78i,25.69+26.22i,16.31,15,48,27.7
6,IB,1,48,27,4.189140723,6.99+14.62i,2.91+13.67i,18.32,9.68,39,37
7,IB,1,49,48,2.242699267,9.23+14.51i,6.99+14.62i,16.53,18.32,26,39
8,IB,1,49,50,0.766550716,9.23+14.51i,9.97+14.31i,16.53,19.2,26,40.5
9,IB,1,50,51,1.894650364,9.97+14.31i,10.53+12.5i,19.2,17.62,40.5,36.4
10,IB,1,50,57,3.462441335,9.97+14.31i,13.43+14.18i,19.2,12.33,40.5,19.4
11,IB,1,57,55,2.358495283,13.43+14.18i,15.63+15.03i,12.33,12.96,19.4,7.7
12,IB,1,57,44,6.904375424,13.43+14.18i,17.63+8.7i,12.33,13.28,19.4,36.45
13,IB,1,15,16,2.102878979,25.02+3.74i,25.13+1.64i,12.45,11.94,33,32
14,IB,1,53,36,4.091222311,14.28+17.99i,14.38+22.08i,8.5,17.53,88.6,37
15,IB,1,39,37,3.480359177,19.44+23.06i,16.29+24.54i,17.08,22.13,24,50
16,IB,2,13,14,1.788854382,21.4+14.2i,20.6+15.8i,11.05,17.8,30.8,37.5
17,IB,2,15,13,2.58069758,23.5+15.7i,21.4+14.2i,12.45,23.3,27,30.8
18,IB,2,15,16,1.081665383,23.5+15.7i,24.1+14.8i,12.45,20.2,27,35.7
19,IB,2,15,14,2.901723626,23.5+15.7i,20.6+15.8i,12.45,17.8,27,37.5
20,IB,2,16,11,3.5,24.1+14.8i,24.1+11.3i,11.94,19.6,35.7,34
21,IB,2,11,10,1.843908891,24.1+11.3i,22.3+11.7i,2,25.4,34,34
22,IB,2,13,10,2.657066051,21.4+14.2i,22.3+11.7i,11.05,25.4,30.8,34
23,IB,2,18,17,3.413209633,28.9+13.8i,29.2+10.4i,8.42,16.5,15.85,29.4
24,IB,2,88,87,1.236931688,27.2+22.9i,27.5+24.1i,15.5,13.7,27,28
25,IB,2,79,78,5.54436651,18.1+26.7i,17.4+21.2i,20.5,19.2,38,39
26,IB,2,30,28,4.393176527,8.7+16.5i,9.6+12.2i,9.26,23.5,69.4,32
27,IB,2,28,29,2.983286778,9.6+12.2i,6.7+11.5i,8.4,18.3,32,32
28,IB,2,29,23,4.10487515,6.7+11.5i,6.5+7.4i,6.27,19.7,32,57.7
29,IB,2,23,27,4.356604182,6.5+7.4i,2.2+6.7i,2,17.2,57.7,73.3
30,IB,2,27,26,5.557877293,2.2+6.7i,3+1.2i,9.68,15.2,73.3,31.8
31,IB,3,92,94,3.773592453,12.9+24.1i,14.9+20.9i,6.5,18.8,41.3,31.4
32,IB,3,94,111,1.984943324,14.9+20.9i,13.4+19.6i,5,16,31.4,66.05
33,IB,3,1,7,3.679673899,29.4+25.1i,26.9+22.4i,4.2,12.4,33.9,18.065
34,IB,3,111,109,3.023243292,13.4+19.6i,11.7+17.1i,16,23.2,66.05,49
35,IB,3,92,53,2.983286778,12.9+24.1i,12.2+27i,6.5,9.6,41.3,31.5
